Platform Id,Base_Text,Latitude,Longitude,Runway,Year,Month,Day,Hour,Weather,Air Temp (C),Dew Point (C),Wind Direction,Cross_Wind,Wind Gust Speed,Peak Wind (Knots),Precip Hr1,Visibility (M),Cloud Cover,Cloud Ceiling (Feet),Icing_Percent_Low,Icing_Percent_Med,Icing_Percent_High
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,0,clear,-7.0,-7.0,320.0,5.594006451827001,8.0,8.0,0.0,9999.0,BKN,20000.0,0.0011923688394276629,0.0011923688394276629,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,1,clear,-8.0,-8.0,310.0,-1.7803221660384139,9.0,9.0,0.0,9999.0,BKN,20000.0,0.0011923688394276629,0.0011923688394276629,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,2,clear,-8.0,-8.0,300.0,-2.5710393131828755,7.0,7.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,3,clear,-5.0,-5.0,310.0,-3.1650171840682915,16.0,16.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,4,snow,-7.0,-7.0,350.0,-11.969201381157163,20.0,20.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,4,clear,-7.0,-7.0,360.0,1.723978317144493,26.0,26.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,5,snow,-7.0,-7.0,350.0,-18.5522621407936,21.0,31.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,6,snow,-8.0,-8.0,360.0,1.7902851754962041,25.0,27.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,7,snow,-10.0,-10.0,340.0,10.317942273313857,11.0,11.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,8,snow,-10.0,-10.0,350.0,-6.583060759636439,11.0,11.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,9,clear,-12.0,-12.0,360.0,0.8619891585722464,13.0,13.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,9,snow,-11.0,-11.0,350.0,-7.181520828694297,12.0,12.0,0.0,8000.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,10,clear,-14.0,-14.0,360.0,0.8619891585722464,13.0,13.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,11,clear,-15.0,-15.0,350.0,-6.583060759636439,11.0,11.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,12,clear,-15.0,-15.0,360.0,0.729375441868824,11.0,11.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,13,clear,-15.0,-15.0,10.0,-11.707551753542848,12.0,12.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,14,clear,-16.0,-16.0,360.0,0.5304548668136901,8.0,8.0,0.0,9999.0,BKN,11000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,15,clear,-16.0,-16.0,10.0,-7.805034502361899,8.0,8.0,0.0,9999.0,OVC,11000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,16,clear,-16.0,-16.0,10.0,-6.829405189566661,7.0,7.0,0.0,9999.0,BKN,11000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,17,clear,-15.0,-15.0,10.0,-6.829405189566661,7.0,7.0,0.0,9999.0,BKN,11000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,18,clear,-15.0,-15.0,10.0,-4.878146563976187,5.0,5.0,0.0,9999.0,BKN,11000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,19,clear,-14.0,-14.0,40.0,-1.8364566522734824,5.0,5.0,0.0,9999.0,OVC,9000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,20,clear,-13.0,-13.0,70.0,5.173913233726103,6.0,6.0,0.0,9999.0,OVC,9000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,21,snow,-12.0,-12.0,80.0,-2.688441696775021,6.0,6.0,0.0,9999.0,OVC,3400.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,21,clear,-12.0,-12.0,80.0,-2.2403680806458506,5.0,5.0,0.0,9999.0,OVC,3400.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,22,snow,-10.0,-10.0,40.0,-2.2037479827281787,6.0,6.0,0.0,6400.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,22,snow,-10.0,-10.0,50.0,3.256723882106247,4.0,4.0,0.0,4000.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,22,snow,-11.0,-11.0,60.0,-7.992166506517184,8.0,8.0,0.0,9999.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,23,clear,-10.0,-10.0,50.0,3.256723882106247,4.0,4.0,0.0,9999.0,BKN,7500.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,1,23,snow,-10.0,-10.0,60.0,-3.996083253258592,4.0,4.0,0.0,9999.0,BKN,7500.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,0,clear,-10.0,-10.0,40.0,-1.8364566522734824,5.0,5.0,0.0,9999.0,BKN,10000.0,0.30325644504748983,0.3029172320217096,0.04748982360922659
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,1,clear,-10.0,-10.0,330.0,-6.829405189566661,7.0,7.0,0.0,9999.0,BKN,9000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,2,clear,-10.0,-10.0,340.0,4.689973760597208,5.0,5.0,0.0,9999.0,BKN,9000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,3,clear,-12.0,-12.0,340.0,4.689973760597208,5.0,5.0,0.0,9999.0,BKN,8000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,4,clear,-11.0,-11.0,290.0,4.070904852632809,5.0,5.0,0.0,9999.0,BKN,8000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,5,clear,-11.0,-11.0,330.0,-9.756293127952373,10.0,10.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,6,clear,-13.0,-13.0,330.0,-7.805034502361899,8.0,8.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,7,clear,-12.0,-12.0,340.0,2.8139842563583244,3.0,3.0,0.0,9999.0,BKN,7000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,8,clear,-13.0,-13.0,330.0,-5.853775876771424,6.0,6.0,0.0,9999.0,BKN,7000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,9,clear,-14.0,-14.0,320.0,6.293257258305376,9.0,9.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,10,clear,-14.0,-14.0,330.0,-5.853775876771424,6.0,6.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,11,clear,-10.0,-10.0,340.0,7.503958016955532,8.0,8.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,12,clear,-9.0,-9.0,350.0,-4.787680552462865,8.0,8.0,0.0,9999.0,BKN,4900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,13,clear,-9.0,-9.0,350.0,-6.583060759636439,11.0,11.0,0.0,9999.0,BKN,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,14,clear,-9.0,-9.0,350.0,-9.57536110492573,16.0,16.0,0.0,9999.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,15,clear,-10.0,-10.0,350.0,-8.378440966810013,14.0,14.0,0.0,9999.0,OVC,3700.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,16,snow,-10.0,-10.0,350.0,-9.57536110492573,16.0,16.0,0.0,9999.0,OVC,2000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,16,clear,-10.0,-10.0,350.0,-7.779980897752155,13.0,13.0,0.0,9999.0,OVC,3400.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,17,snow,-10.0,-10.0,350.0,-12.56766145021502,21.0,21.0,0.0,9999.0,OVC,1700.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,18,snow,-11.0,-11.0,350.0,-10.173821173983587,17.0,17.0,0.0,9999.0,OVC,1800.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,19,snow,-12.0,-12.0,360.0,0.9282960169239578,14.0,14.0,0.0,9999.0,OVC,1800.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,20,snow,-13.0,-13.0,350.0,-8.976901035867872,15.0,15.0,0.0,9999.0,OVC,1700.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,21,snow,-13.0,-13.0,350.0,-10.173821173983587,17.0,17.0,0.0,9999.0,OVC,1700.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,22,snow,-14.0,-14.0,350.0,-8.378440966810013,14.0,14.0,0.0,8000.0,OVC,1600.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,23,snow,-16.0,-16.0,340.0,8.441952769074973,9.0,9.0,0.0,9999.0,BKN,4900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,2,23,snow,-14.0,-14.0,350.0,-8.378440966810013,14.0,14.0,0.0,8000.0,OVC,1700.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,0,snow,-15.0,-15.0,340.0,8.441952769074973,9.0,9.0,0.0,9999.0,BKN,6000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,1,snow,-15.0,-15.0,350.0,-6.583060759636439,11.0,11.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,2,snow,-15.0,-15.0,350.0,-7.181520828694297,12.0,12.0,0.0,9999.0,BKN,6000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,3,snow,-15.0,-15.0,350.0,-8.976901035867872,15.0,15.0,0.0,9999.0,BKN,6000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,4,snow,-16.0,-16.0,350.0,-8.378440966810013,14.0,14.0,0.0,9999.0,BKN,6000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,5,snow,-15.0,-15.0,350.0,-7.779980897752155,13.0,13.0,0.0,9999.0,BKN,6000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,6,snow,-15.0,-15.0,350.0,-7.779980897752155,13.0,13.0,0.0,9999.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,7,snow,-15.0,-15.0,350.0,-7.779980897752155,13.0,13.0,0.0,9999.0,BKN,1000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,8,snow,-15.0,-15.0,350.0,-7.779980897752155,13.0,13.0,0.0,9999.0,BKN,1400.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,9,snow,-15.0,-15.0,350.0,-8.378440966810013,14.0,14.0,0.0,9999.0,BKN,1200.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,10,snow,-16.0,-16.0,350.0,-7.181520828694297,12.0,12.0,0.0,9999.0,OVC,1200.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,11,snow,-16.0,-16.0,350.0,-7.779980897752155,13.0,13.0,0.0,8000.0,OVC,1200.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,12,snow,-16.0,-16.0,350.0,-8.976901035867872,15.0,15.0,0.0,3200.0,OVC,1200.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,12,snow,-16.0,-16.0,340.0,12.19393177755274,13.0,13.0,0.0,9999.0,OVC,1200.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,13,snow,-17.0,-17.0,350.0,-7.779980897752155,13.0,13.0,0.0,6400.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,13,snow,-16.0,-16.0,350.0,-8.976901035867872,15.0,15.0,0.0,3200.0,OVC,1400.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,14,snow,-17.0,-17.0,350.0,-8.976901035867872,15.0,15.0,0.0,3200.0,OVC,2500.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,14,snow,-17.0,-17.0,350.0,-8.976901035867872,15.0,15.0,0.0,8000.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,15,snow,-16.0,-16.0,340.0,16.883905538149946,18.0,18.0,0.0,6400.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,16,snow,-16.0,-16.0,350.0,-10.772281243041446,18.0,18.0,0.0,4800.0,OVC,2500.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,16,snow,-16.0,-16.0,340.0,15.945910786030506,17.0,17.0,0.0,4800.0,BKN,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,17,snow,-16.0,-16.0,340.0,15.945910786030506,17.0,17.0,0.0,4800.0,BKN,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,18,snow,-16.0,-16.0,350.0,-10.173821173983587,17.0,17.0,0.0,4000.0,OVC,2600.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,19,snow,-15.0,-15.0,340.0,15.945910786030506,17.0,17.0,0.0,6400.0,OVC,3000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,19,snow,-16.0,-16.0,350.0,-10.772281243041446,18.0,18.0,0.0,2400.0,OVC,2500.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,20,snow,-16.0,-16.0,350.0,-10.173821173983587,17.0,17.0,0.0,3200.0,OVC,2000.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,21,snow,-15.0,-15.0,340.0,16.883905538149946,18.0,18.0,0.0,6400.0,OVC,3900.0,0.44388270980788674,0.4351196494775868,0.22413211998651836
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,3,22,snow,-15.0,-15.0,350.0,-10.772281243041446,18.0,18.0,0.0,6400.0,BKN,6500.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,0,snow,-16.0,-16.0,340.0,15.007916033911064,16.0,16.0,0.0,6400.0,OVC,7000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,1,snow,-17.0,-17.0,340.0,15.007916033911064,16.0,16.0,0.0,8000.0,OVC,7000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,2,snow,-17.0,-17.0,340.0,18.75989504238883,20.0,20.0,0.0,9999.0,OVC,7000.0,0.39008766014834795,0.3867161159811194,0.14935940660822658
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,3,snow,-19.0,-19.0,340.0,12.19393177755274,13.0,13.0,0.0,9999.0,SCT,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,5,snow,-20.0,-20.0,330.0,-10.73192244074761,11.0,11.0,0.0,9999.0,FEW,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,6,snow,-20.0,-20.0,310.0,-1.7803221660384139,9.0,9.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,7,clear,-22.0,-22.0,320.0,5.594006451827001,8.0,8.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,8,clear,-22.0,-22.0,320.0,5.594006451827001,8.0,8.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,9,clear,-21.0,-21.0,310.0,-1.9781357400426822,10.0,10.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,10,clear,-22.0,-22.0,300.0,-3.305621974092268,9.0,9.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,11,clear,-22.0,-22.0,300.0,-2.938330643637572,8.0,8.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,12,clear,-22.0,-22.0,310.0,-1.5825085920341457,8.0,8.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,13,clear,-24.0,-24.0,270.0,5.173913233726103,6.0,6.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,14,clear,-24.0,-24.0,270.0,2.5869566168630516,3.0,3.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,15,clear,-24.0,-24.0,240.0,3.1665960154314994,5.0,5.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
KRDR,"Grand Forks, AFB",47.96111,-97.40111,170,2000,1,4,16,clear,-21.0,-21.0,270.0,6.036232106013787,7.0,7.0,0.0,9999.0,CLR,72000.0,0.0,0.0,0.0
